Date,Month,Store Visits,Marketing_Spend,Discount_Percentage,Competitor_Price_Index,Sales_Revenue
19-03-2023,2023-03,9349,120994,9.7,98.9,1036114
20-03-2023,2023-03,7427,289295,9.6,97.9,1306211
21-03-2023,2023-03,10084,225913,3.5,97.5,1405861
22-03-2023,2023-03,10624,117076,3.9,97.3,1704031
23-03-2023,2023-03,10017,157828,1.5,97,1847016
24-03-2023,2023-03,10699,81138,5.6,93.2,1186611
25-03-2023,2023-03,9581,222664,8.8,92.9,1405620
26-03-2023,2023-03,10290,131035,0,104.5,1732167
27-03-2023,2023-03,9498,81208,3.2,91.8,1000000
28-03-2023,2023-03,8351,96459,6.4,94.9,1205357
29-03-2023,2023-03,7824,194272,3.3,103.7,1826098
30-03-2023,2023-03,7715,133707,9.3,90.2,1174632
31-03-2023,2023-03,11403,210663,1.8,92.4,1321185
01-04-2023,2023-04,10204,220976,6.8,94.6,1745454
02-04-2023,2023-04,10461,149641,4.4,102.7,1560000
03-04-2023,2023-04,10461,124071,9.8,98.4,1106412
04-04-2023,2023-04,8666,134936,11.1,101.9,1487772
05-04-2023,2023-04,8723,298373,0,90.6,1741383
06-04-2023,2023-04,10327,283402,6.3,97.6,1377283
07-04-2023,2023-04,9223,175303,6.2,98.8,1000000
08-04-2023,2023-04,9441,116651,0.5,98.7,1187368
09-04-2023,2023-04,10716,155385,5.5,96.8,1789352
10-04-2023,2023-04,8548,85019,7.4,91.9,1205194
11-04-2023,2023-04,10664,255113,5.7,97.5,1577013
12-04-2023,2023-04,9851,143912,4,90.4,1036008
13-04-2023,2023-04,8096,271175,0.3,94.6,1221769
14-04-2023,2023-04,9669,247607,6.8,98,1447782
15-04-2023,2023-04,7256,289341,11.9,97.3,1699021
16-04-2023,2023-04,7439,289453,1.2,91.5,1649285
17-04-2023,2023-04,8985,229665,0.3,95.5,1644709
18-04-2023,2023-04,9643,108065,6.3,102.7,1177422
19-04-2023,2023-04,10524,135710,3.4,91.2,1062208
20-04-2023,2023-04,9110,234241,11.2,96.2,1356599
21-04-2023,2023-04,7317,217939,9.7,102.5,1620676
22-04-2023,2023-04,8570,92302,10.2,103.6,1616384
23-04-2023,2023-04,9832,123698,10.8,100.6,1578758
24-04-2023,2023-04,7549,272318,2.8,91.8,1900000
25-04-2023,2023-04,7965,227992,3.1,92.2,1190725
26-04-2023,2023-04,9587,144811,5,102.4,1661739
27-04-2023,2023-04,8533,96598,11.1,96.3,1492221
28-04-2023,2023-04,11077,126076,6.9,95,1314872
29-04-2023,2023-04,11387,217341,7.2,103.5,1733324
30-04-2023,2023-04,11143,261962,4.3,100,1552603
01-05-2023,2023-05,10024,226650,5.7,97.7,1900000
02-05-2023,2023-05,9370,123122,5.9,98.6,1451071
03-05-2023,2023-05,7780,268529,3,96.4,1890075
04-05-2023,2023-05,10403,89207,2.9,97.2,1560340
05-05-2023,2023-05,9945,185871,6.6,97.1,1398424
06-05-2023,2023-05,10411,269941,10.1,94.7,1672833
07-05-2023,2023-05,11224,150460,2.3,95.9,1369580
08-05-2023,2023-05,9045,99508,10.1,93.2,1000000
09-05-2023,2023-05,11050,182463,5.4,100.6,1485620
10-05-2023,2023-05,7403,243033,10.2,94.9,1455804
11-05-2023,2023-05,8484,115815,6.5,96.1,1503421
12-05-2023,2023-05,7716,264664,7.4,103.7,1709043
13-05-2023,2023-05,10817,161257,11.4,99.9,1456121
14-05-2023,2023-05,9372,299557,6.7,99.5,1624065
15-05-2023,2023-05,9831,245262,4,100.1,1357673
16-05-2023,2023-05,8530,229867,8.4,100.1,1398345
17-05-2023,2023-05,10045,290875,10.5,92.7,1596372
18-05-2023,2023-05,9434,93186,3.9,97,1142057
19-05-2023,2023-05,8335,238171,5.2,90.4,1190873
20-05-2023,2023-05,9108,219210,3.6,92.6,1368874
21-05-2023,2023-05,9095,281805,8.9,92.2,1357586
22-05-2023,2023-05,7367,165371,2.5,98.2,1258727
23-05-2023,2023-05,9290,177074,2.5,102.6,1167470
24-05-2023,2023-05,10526,288234,2.9,100.4,1590558
25-05-2023,2023-05,7402,101147,9.4,96,1267628
26-05-2023,2023-05,9158,280141,0.4,102.4,1589703
27-05-2023,2023-05,9146,155491,8.8,97.1,1621901
28-05-2023,2023-05,9712,294035,2,90.6,1900000
29-05-2023,2023-05,7671,277286,4.6,104.6,1226794
30-05-2023,2023-05,10102,88972,6.2,103,1532693
31-05-2023,2023-05,11295,247944,9.1,103.4,1469383
01-06-2023,2023-06,10844,134810,7.7,99.2,1388916
02-06-2023,2023-06,8369,184578,5.9,103.6,1045314
03-06-2023,2023-06,9347,98887,4.6,101.7,1470782
04-06-2023,2023-06,10117,202364,1.8,104.6,1900000
05-06-2023,2023-06,10907,84902,8.2,98.4,1000000
06-06-2023,2023-06,8716,197930,6.2,100.9,1000000
07-06-2023,2023-06,10420,271381,0,104.4,1441491
08-06-2023,2023-06,9032,129148,1,93.6,1234833
09-06-2023,2023-06,7512,107805,9,94.3,1000000
10-06-2023,2023-06,10535,242355,8,102.8,1900000
11-06-2023,2023-06,9869,236501,3.9,94.3,1678430
12-06-2023,2023-06,9671,149904,2.7,91.4,1383815
13-06-2023,2023-06,7758,119305,9.6,90.8,1503272
14-06-2023,2023-06,9816,282309,9.8,98.2,1419297
15-06-2023,2023-06,8968,194757,1.2,90.8,1456478
16-06-2023,2023-06,9205,289796,9.2,94.4,1393133
17-06-2023,2023-06,10648,127266,9.7,95.9,1691622
18-06-2023,2023-06,7696,177777,4.6,99.1,1255267
19-06-2023,2023-06,10665,105422,11.8,94.1,1271776
20-06-2023,2023-06,8991,169807,11.9,93.6,1571154
21-06-2023,2023-06,9336,257736,10.2,104.8,1391093
22-06-2023,2023-06,8716,184050,4.4,92.4,1293651
23-06-2023,2023-06,9648,206123,10.7,99.5,1287996
24-06-2023,2023-06,10167,214184,7,95.7,1329907
25-06-2023,2023-06,8460,293301,5,94.6,1900000
26-06-2023,2023-06,10396,180075,6.5,101.5,1759346
27-06-2023,2023-06,11479,119851,0.2,103.2,1420682
28-06-2023,2023-06,7234,264111,7.9,101.3,1341991
29-06-2023,2023-06,8152,117594,9.3,91.1,1200871
30-06-2023,2023-06,10908,135215,9.1,95.9,1550290
01-07-2023,2023-07,8894,290037,9.2,95.2,1538105
02-07-2023,2023-07,7340,223203,4.6,104.5,1399230
03-07-2023,2023-07,11320,117263,11.7,93.1,1740460
04-07-2023,2023-07,9796,148589,10.4,96.7,1804750
05-07-2023,2023-07,11063,130247,4.6,102.4,1703014
06-07-2023,2023-07,9505,173822,11.8,95.7,1783955
07-07-2023,2023-07,10039,226819,0.5,91.4,1900000
08-07-2023,2023-07,7806,276690,11.9,95.4,1337609
09-07-2023,2023-07,11198,134475,11.5,97.7,1446506
10-07-2023,2023-07,8243,196436,2.8,103.2,1555657
11-07-2023,2023-07,11468,214953,0.3,96.6,1203245
12-07-2023,2023-07,7374,235044,4.5,102.3,1552630
13-07-2023,2023-07,11488,165856,2.2,103.6,1859516
14-07-2023,2023-07,8704,116417,0.6,95.3,1437909
15-07-2023,2023-07,8754,91490,6.3,96.1,1343132
16-07-2023,2023-07,7551,238979,11.1,103.5,1211544
17-07-2023,2023-07,9673,157932,11.7,103.4,1452968
18-07-2023,2023-07,10529,129002,9,92.2,1085743
19-07-2023,2023-07,9755,285589,11.5,94.6,1678323
20-07-2023,2023-07,11297,196996,2.4,101.7,1859077
21-07-2023,2023-07,9478,152500,11.8,102.3,1411224
22-07-2023,2023-07,8540,231428,2.2,94.5,1445987
23-07-2023,2023-07,10680,83543,5.8,91.4,1006363
24-07-2023,2023-07,7966,214159,1.4,91.2,1234012
25-07-2023,2023-07,11040,185128,7.3,90.6,1460360
26-07-2023,2023-07,9130,82502,4.3,103.1,1584882
27-07-2023,2023-07,10805,104085,11.1,96.7,1625202
28-07-2023,2023-07,10148,205996,1.4,103.5,1832567
29-07-2023,2023-07,10451,126334,5.2,102.2,1387217
30-07-2023,2023-07,7572,130165,3.5,90.9,1477302
31-07-2023,2023-07,9671,108257,5.4,98.3,1222865
01-08-2023,2023-08,10229,223949,1,99.6,1281384
02-08-2023,2023-08,9454,134348,3.5,96.8,1427872
03-08-2023,2023-08,10385,128431,2.9,102,1000000
04-08-2023,2023-08,9935,201862,9.4,101.5,1621572
05-08-2023,2023-08,7582,189692,0,103,1351930
06-08-2023,2023-08,10455,156250,0.9,100.8,1772608
07-08-2023,2023-08,11015,188788,10.6,98.7,1565523
08-08-2023,2023-08,11108,295652,1.9,96.2,1808922
09-08-2023,2023-08,8122,170080,9.6,103.6,1624104
10-08-2023,2023-08,8250,100719,8,100.7,1079442
11-08-2023,2023-08,11193,271967,3.8,93.7,1705604
12-08-2023,2023-08,10020,133899,0.6,92.2,1267807
13-08-2023,2023-08,8752,108350,11.1,94.1,1542083
14-08-2023,2023-08,11202,121103,8.6,102.7,1804060
15-08-2023,2023-08,10549,104968,10.7,96.4,1062116
16-08-2023,2023-08,10709,164282,6.2,101.2,1304798
17-08-2023,2023-08,9990,145378,0.7,99.8,1439199
18-08-2023,2023-08,10990,178339,4.5,90.8,1413155
19-08-2023,2023-08,10727,167114,10.5,94.6,1822449
20-08-2023,2023-08,11168,145672,10.5,98.4,1402414
21-08-2023,2023-08,7744,289145,1,90.8,1528545
22-08-2023,2023-08,8457,257731,0.8,101.9,1900000
23-08-2023,2023-08,7629,291568,2.8,91.5,1900000
24-08-2023,2023-08,8984,177012,10.5,94.2,1835078
25-08-2023,2023-08,9098,134861,2,91.6,1099884
26-08-2023,2023-08,8410,103612,3.4,97.3,1000000
27-08-2023,2023-08,8811,171005,7.8,100.4,1635628
28-08-2023,2023-08,11197,159540,4.5,104.7,1205393
29-08-2023,2023-08,8997,225337,5.2,99,1747283
30-08-2023,2023-08,7845,177118,7.8,104.6,1707678
31-08-2023,2023-08,7534,221508,1.2,104.8,1627387
01-09-2023,2023-09,10155,183640,9.8,95.9,1424155
02-09-2023,2023-09,11040,96314,2.8,103.7,1211209
03-09-2023,2023-09,7268,222874,5.9,91.5,1232591
04-09-2023,2023-09,9773,295259,1.5,98.2,1769203
05-09-2023,2023-09,8071,237611,2.7,103.2,1182693
06-09-2023,2023-09,10707,82805,8.5,96,1612712
07-09-2023,2023-09,10555,232140,5.7,104,1578764
08-09-2023,2023-09,9620,261396,7.2,93.1,1281955
09-09-2023,2023-09,11345,189655,3.7,90,1133742
10-09-2023,2023-09,8379,142639,6.6,103.1,1428808
11-09-2023,2023-09,11034,260791,6.4,103.6,1900000
12-09-2023,2023-09,10140,180167,10.5,94.3,1278845
13-09-2023,2023-09,7753,269680,10.3,96.6,1313798
14-09-2023,2023-09,9104,206388,2.9,95,1170026
15-09-2023,2023-09,11213,205838,8.5,101.8,1900000
16-09-2023,2023-09,10387,256693,4.9,104.2,1900000
17-09-2023,2023-09,8861,295585,7,95.5,1355937
18-09-2023,2023-09,7555,277637,9.5,91,1344168
19-09-2023,2023-09,8974,204401,10.7,97.7,1507675
20-09-2023,2023-09,11067,241247,5.2,102.9,1451975
21-09-2023,2023-09,9374,256180,9.8,98.6,1877487
22-09-2023,2023-09,7885,187350,1.1,101.9,1288920
23-09-2023,2023-09,7383,231113,5.5,104.2,1802846
24-09-2023,2023-09,7799,141533,3.1,104.4,1000000
25-09-2023,2023-09,8991,198665,5.5,91.5,1691415
26-09-2023,2023-09,10255,268902,1.6,91.6,1900000
27-09-2023,2023-09,9505,156737,1.5,94.6,1426730
28-09-2023,2023-09,10280,177896,6.6,104.7,1267557
29-09-2023,2023-09,7791,203484,5,92.9,1572352
30-09-2023,2023-09,8965,112861,6.5,101.3,1000000
01-10-2023,2023-10,9073,132144,9.7,101.3,1111001
02-10-2023,2023-10,9361,206679,0.9,102.2,1174305
03-10-2023,2023-10,10302,221422,1.1,97.3,1588885
04-10-2023,2023-10,9788,267474,9.9,96,1701639
05-10-2023,2023-10,10808,224743,5.4,101,1900000
06-10-2023,2023-10,9834,143391,10.7,90.6,1138310
07-10-2023,2023-10,8316,201756,3.8,100,1648457
08-10-2023,2023-10,11248,250754,3.1,96.5,1900000
09-10-2023,2023-10,11104,156562,3.9,94,1226045
10-10-2023,2023-10,7520,196996,1.5,104,1798950
11-10-2023,2023-10,9733,117545,2.8,98.9,1690096
12-10-2023,2023-10,10089,111325,10,101,1016896
13-10-2023,2023-10,7326,98445,6.5,102.4,1122943
14-10-2023,2023-10,9798,272496,10.9,93.5,1900000
15-10-2023,2023-10,10470,247121,1.7,104.1,1232814
16-10-2023,2023-10,8558,263913,11.5,103.1,1750221
17-10-2023,2023-10,7794,138846,10,96,1095450
18-10-2023,2023-10,10653,88784,5,92.6,1305237
19-10-2023,2023-10,7996,130545,3,98.1,1071070
20-10-2023,2023-10,10103,99210,4,97.2,1090381
21-10-2023,2023-10,10877,88286,9.1,101.2,1225027
22-10-2023,2023-10,11206,226918,9.8,104.7,1502069
23-10-2023,2023-10,8636,195444,1.2,94.8,1260190
24-10-2023,2023-10,8748,195372,8.2,92.2,1771608
25-10-2023,2023-10,8526,82439,1.7,103.7,1000000
26-10-2023,2023-10,7813,245392,7.1,102,1868248
27-10-2023,2023-10,7935,141967,11.4,101.4,1138165
28-10-2023,2023-10,11244,231270,9.2,97.4,1718174
29-10-2023,2023-10,9062,215433,5,90.9,1675769
30-10-2023,2023-10,9396,134693,2.6,99.5,1633832
31-10-2023,2023-10,10283,109210,0.1,92.5,1171035
01-11-2023,2023-11,11433,83476,0.4,101.2,1060935
02-11-2023,2023-11,11291,172375,4.5,104.9,1479523
03-11-2023,2023-11,11464,216915,0.9,100.3,1294015
04-11-2023,2023-11,10525,243800,5.5,92.7,1900000
05-11-2023,2023-11,8684,203242,0.7,100.9,1722100
06-11-2023,2023-11,9365,89586,4.7,99.7,1266599
07-11-2023,2023-11,10519,290562,9.2,99.2,1563778
08-11-2023,2023-11,11082,109986,1.4,102.3,1717826
09-11-2023,2023-11,8678,95167,1.3,91.6,1416214
10-11-2023,2023-11,9721,87301,3.2,90.3,1266344
11-11-2023,2023-11,11231,119047,4.8,101.7,1181334
12-11-2023,2023-11,7983,187213,0.4,98.6,1038085
13-11-2023,2023-11,7680,156643,11.4,93.2,1687648
14-11-2023,2023-11,8069,192139,6,90.5,1636078
15-11-2023,2023-11,8741,255578,8.3,101.9,1851767
16-11-2023,2023-11,10324,139750,2.7,94.5,1635815
17-11-2023,2023-11,11489,173831,9.7,103.3,1900000
18-11-2023,2023-11,10746,120039,11.5,98.1,1000000
19-11-2023,2023-11,9006,106215,1.5,97.8,1513038
20-11-2023,2023-11,8958,281575,9.9,104.6,1637247
21-11-2023,2023-11,10217,246437,12,97.8,1323252
22-11-2023,2023-11,10998,148865,2.8,104.6,1406130
23-11-2023,2023-11,9636,245414,3.3,100.7,1887767
24-11-2023,2023-11,9173,147375,11,102.8,1473751
25-11-2023,2023-11,7461,226563,8.8,94,1022282
26-11-2023,2023-11,8889,243956,4.2,91.8,1631144
27-11-2023,2023-11,9267,128992,10.7,92.9,1343259
28-11-2023,2023-11,8804,94691,4.6,101.1,1169891
29-11-2023,2023-11,8018,207487,7.6,91.4,1116260
30-11-2023,2023-11,9999,145624,8.6,95,1692501
01-12-2023,2023-12,11434,187319,1.4,91.9,1354773
02-12-2023,2023-12,9510,214410,3.9,90.2,1900000
03-12-2023,2023-12,8058,216262,5.6,97,1053876
04-12-2023,2023-12,10758,267403,11.5,96.3,1705472
05-12-2023,2023-12,7345,287010,6.8,101.4,1900000
06-12-2023,2023-12,7870,204125,8.1,97.6,1000000
07-12-2023,2023-12,10953,262989,0.3,100.5,1900000
08-12-2023,2023-12,8481,119543,8.6,96.6,1483321
09-12-2023,2023-12,9292,211886,8.9,100.2,1433263
10-12-2023,2023-12,10342,253720,7.9,95.6,1900000
11-12-2023,2023-12,9717,97236,4.3,94.3,1246849
12-12-2023,2023-12,7419,203101,5,99.2,1106655
13-12-2023,2023-12,10617,296175,0.3,92.4,1686834
14-12-2023,2023-12,10872,223211,10.6,104.4,1375426
15-12-2023,2023-12,8515,238088,1.6,102.5,1550000
16-12-2023,2023-12,10233,196588,10.8,92.6,1609761
17-12-2023,2023-12,7403,182428,1.7,92.5,1784584
18-12-2023,2023-12,10007,253199,7.9,97,1900000
19-12-2023,2023-12,10853,133053,0.6,102.4,1000000
20-12-2023,2023-12,7895,186479,5.9,96.2,1007381
21-12-2023,2023-12,11120,90565,10.4,97.3,1408806
22-12-2023,2023-12,9700,136556,4.3,92.7,1251388
23-12-2023,2023-12,9216,207331,4.2,98.6,1186942
24-12-2023,2023-12,11101,283379,6.5,94.4,1384611
25-12-2023,2023-12,9345,282208,5.7,95,1900000
26-12-2023,2023-12,8095,269869,8.7,92,1900000
27-12-2023,2023-12,9865,242575,5.7,95.3,1900000
28-12-2023,2023-12,8834,297093,3.2,92.7,1894069
29-12-2023,2023-12,10774,199547,4.5,96.4,1748866
30-12-2023,2023-12,9307,208940,3.3,103.8,1900000
31-12-2023,2023-12,9871,187888,7.9,94.6,1051264
01-01-2024,2024-01,8153,154493,10.7,96.9,1491960
02-01-2024,2024-01,9068,212878,3.6,104.6,1643061
03-01-2024,2024-01,9846,123825,1.5,100.2,1000000
04-01-2024,2024-01,9358,270261,7.2,103,1900000
05-01-2024,2024-01,11072,297108,0.3,102.4,1838616
06-01-2024,2024-01,10636,292219,6,101.9,1900000
07-01-2024,2024-01,7450,103665,5.4,97.6,1000000
08-01-2024,2024-01,7315,294721,1.5,97.2,1502301
09-01-2024,2024-01,10588,272393,10.3,101.7,1900000
10-01-2024,2024-01,7546,270437,5,99,1735381
11-01-2024,2024-01,8747,267392,9.1,92.3,1900000
12-01-2024,2024-01,10267,201350,6,96.6,1447415
13-01-2024,2024-01,10422,106587,6.9,91,1000000
14-01-2024,2024-01,8350,194342,2.1,91.8,1622708
15-01-2024,2024-01,8613,286245,4.4,94,1900000
16-01-2024,2024-01,7469,225275,7.7,104.6,1736981
17-01-2024,2024-01,11237,260566,7.7,95,1898350
18-01-2024,2024-01,7305,266967,0.8,92.2,1601339
19-01-2024,2024-01,10768,143934,4.3,99.8,1397935
20-01-2024,2024-01,9967,162034,9,94.3,1216472
21-01-2024,2024-01,8127,168039,3.8,97.3,1487205
22-01-2024,2024-01,9245,283163,8.3,98.4,1835142
23-01-2024,2024-01,10643,236333,1.8,99.7,1318719
24-01-2024,2024-01,10818,107413,6.3,99.5,1417701
25-01-2024,2024-01,10968,181212,2.9,90.8,1789095
26-01-2024,2024-01,7288,170901,4.5,92.9,1346284
27-01-2024,2024-01,10010,132832,9.6,95.3,1734000
28-01-2024,2024-01,7381,100884,0.2,91.9,1304517
29-01-2024,2024-01,7462,185360,1.2,94,1385602
30-01-2024,2024-01,9775,209271,3.1,93.4,1900000
31-01-2024,2024-01,8047,179599,4.4,92.4,1563626
01-02-2024,2024-02,10996,219913,9.1,95.3,1739874
02-02-2024,2024-02,8520,212390,7,97.2,1173157
03-02-2024,2024-02,10167,274554,4.8,97,1900000
04-02-2024,2024-02,10710,147727,11.5,92.9,1000000
05-02-2024,2024-02,7657,229128,4.3,91.2,1055124
06-02-2024,2024-02,8808,275164,10.2,92.3,1900000
07-02-2024,2024-02,9574,167778,2.2,101.5,1000000
08-02-2024,2024-02,10726,141203,7.4,90.6,1512770
09-02-2024,2024-02,8485,174940,0.1,92.9,1329951
10-02-2024,2024-02,10570,205042,9.3,100,1356477
11-02-2024,2024-02,10851,281452,7.9,90,1457314
12-02-2024,2024-02,8038,209239,0.5,94.8,1255901
13-02-2024,2024-02,10385,222642,5.9,96.5,1251389
14-02-2024,2024-02,11371,158375,3.1,94.9,1900000
15-02-2024,2024-02,9320,267626,5.5,94.9,1678403
16-02-2024,2024-02,10594,258068,10.2,94.2,1695109
17-02-2024,2024-02,9010,216920,9,102.2,1361226
18-02-2024,2024-02,8682,152320,8.7,97.5,1216562
19-02-2024,2024-02,9006,250658,1.5,91.4,1158043
20-02-2024,2024-02,9076,126834,3.2,93.5,1554788
21-02-2024,2024-02,11287,278578,8.8,100.3,1900000
22-02-2024,2024-02,11154,93696,6.1,94.2,1149782
23-02-2024,2024-02,9527,143658,4.3,100.1,1328316
24-02-2024,2024-02,10535,116379,8.2,91.7,1239162
25-02-2024,2024-02,10347,130731,7.3,101.3,1480412
26-02-2024,2024-02,10067,116531,1.8,101.7,1247781
27-02-2024,2024-02,10124,268159,3.1,98.3,1900000
28-02-2024,2024-02,8630,99558,0.5,97.6,1607501
29-02-2024,2024-02,9464,195105,11.1,99.9,1208608
01-03-2024,2024-03,8285,264077,9.8,96.9,1900000
02-03-2024,2024-03,11024,194123,1.2,98.6,1831415
03-03-2024,2024-03,10769,266097,0.9,94.7,1900000
04-03-2024,2024-03,7991,265480,0,90.3,1557071
05-03-2024,2024-03,7523,143411,8.7,98,1601462
06-03-2024,2024-03,9287,128303,5.8,98.7,1108386
07-03-2024,2024-03,10861,98718,1.6,102.8,1718335
08-03-2024,2024-03,11270,203552,1.3,101.8,1850373
09-03-2024,2024-03,7745,282816,5.9,92.6,1595236
10-03-2024,2024-03,7386,94867,10.7,101.2,1563612
11-03-2024,2024-03,9811,264854,10.6,95,1535921
12-03-2024,2024-03,10091,259069,9.2,99.2,1469737
13-03-2024,2024-03,8672,195437,6.9,94.1,1528267
14-03-2024,2024-03,7491,283920,1.1,103,1900000
15-03-2024,2024-03,10337,191432,4,101.2,1412153
16-03-2024,2024-03,10093,207351,3.6,94,1842364
17-03-2024,2024-03,10943,258523,2.7,104,1900000
18-03-2024,2024-03,10942,102966,10.5,103,1505901
19-03-2024,2024-03,7290,278094,8,91.6,1900000
20-03-2024,2024-03,9580,161606,0.1,101.7,1000000
21-03-2024,2024-03,8724,116626,9.4,92.7,1002929
22-03-2024,2024-03,8918,190929,10.6,101.2,1629497
23-03-2024,2024-03,10411,112228,4.4,99.7,1715993
24-03-2024,2024-03,11280,207277,0.9,96,1512764
25-03-2024,2024-03,10193,99757,9.8,98.3,1000000
26-03-2024,2024-03,10135,259324,9.2,93.4,1417818
27-03-2024,2024-03,7922,246197,4.5,90.5,1714904
28-03-2024,2024-03,9636,132734,4.1,91.7,1498150
29-03-2024,2024-03,9040,151817,6.8,93.7,1716049
30-03-2024,2024-03,10602,215729,1,97.8,1469092
31-03-2024,2024-03,9326,85776,2.6,98.4,1000000
01-04-2024,2024-04,8967,242671,3.5,93.8,1900000
02-04-2024,2024-04,8623,161710,10.7,97.4,1227738
03-04-2024,2024-04,11457,165594,0.3,102.6,1157425
04-04-2024,2024-04,8640,91273,1.1,95.3,1212188
05-04-2024,2024-04,7293,292146,9.1,98.2,1260293
06-04-2024,2024-04,9530,88519,6.7,100.3,1646706
07-04-2024,2024-04,11187,296903,9.8,104.4,1615934
08-04-2024,2024-04,8457,95372,9.1,104.7,1188513
09-04-2024,2024-04,9022,229567,8.1,95.4,1527264
10-04-2024,2024-04,7707,118022,3.4,100,1003730
11-04-2024,2024-04,7534,142194,3.9,92.7,1363623
12-04-2024,2024-04,10326,157285,1.2,100.3,1845301
13-04-2024,2024-04,9357,247125,6,104.8,1575022
14-04-2024,2024-04,10475,192763,6.5,101.6,1140352
